antecedent,consequent,n
Admission IC,Admission IC,1
Admission IC,Admission NC,4
Admission IC,CRP,32
Admission IC,ER Sepsis Triage,1
Admission IC,LacticAcid,41
Admission IC,Leucocytes,38
Admission NC,Admission IC,20
Admission NC,Admission NC,175
Admission NC,CRP,369
Admission NC,End,14
Admission NC,ER Sepsis Triage,5
Admission NC,ER Triage,1
Admission NC,IV Antibiotics,2
Admission NC,IV Liquid,22
Admission NC,LacticAcid,27
Admission NC,Leucocytes,408
Admission NC,Release A,117
Admission NC,Release B,17
Admission NC,Release C,4
Admission NC,Release D,1
CRP,Admission IC,17
CRP,Admission NC,187
CRP,CRP,317
CRP,End,41
CRP,ER Registration,14
CRP,ER Sepsis Triage,35
CRP,ER Triage,16
CRP,IV Antibiotics,81
CRP,IV Liquid,111
CRP,LacticAcid,629
CRP,Leucocytes,1445
CRP,Release A,322
CRP,Release B,19
CRP,Release C,13
CRP,Release D,12
CRP,Release E,3
ER Registration,Admission IC,1
ER Registration,CRP,14
ER Registration,ER Sepsis Triage,11
ER Registration,ER Triage,971
ER Registration,IV Liquid,22
ER Registration,LacticAcid,10
ER Registration,Leucocytes,21
ER Sepsis Triage,Admission IC,1
ER Sepsis Triage,Admission NC,19
ER Sepsis Triage,CRP,192
ER Sepsis Triage,End,49
ER Sepsis Triage,ER Registration,5
ER Sepsis Triage,ER Triage,5
ER Sepsis Triage,IV Antibiotics,76
ER Sepsis Triage,IV Liquid,285
ER Sepsis Triage,LacticAcid,148
ER Sepsis Triage,Leucocytes,269
ER Triage,CRP,48
ER Triage,End,2
ER Triage,ER Registration,5
ER Triage,ER Sepsis Triage,905
ER Triage,IV Antibiotics,1
ER Triage,IV Liquid,11
ER Triage,LacticAcid,29
ER Triage,Leucocytes,52
IV Antibiotics,Admission IC,46
IV Antibiotics,Admission NC,489
IV Antibiotics,CRP,48
IV Antibiotics,End,87
IV Antibiotics,ER Registration,1
IV Antibiotics,ER Triage,6
IV Antibiotics,IV Liquid,62
IV Antibiotics,LacticAcid,28
IV Antibiotics,Leucocytes,53
IV Antibiotics,Release A,2
IV Antibiotics,Release B,1
IV Liquid,Admission IC,3
IV Liquid,Admission NC,52
IV Liquid,CRP,46
IV Liquid,End,12
IV Liquid,ER Registration,15
IV Liquid,ER Sepsis Triage,7
IV Liquid,ER Triage,23
IV Liquid,IV Antibiotics,501
IV Liquid,LacticAcid,36
IV Liquid,Leucocytes,55
IV Liquid,Release A,2
IV Liquid,Release B,1
LacticAcid,Admission IC,10
LacticAcid,Admission NC,102
LacticAcid,CRP,404
LacticAcid,End,24
LacticAcid,ER Registration,1
LacticAcid,ER Sepsis Triage,42
LacticAcid,ER Triage,14
LacticAcid,IV Antibiotics,89
LacticAcid,IV Liquid,124
LacticAcid,LacticAcid,83
LacticAcid,Leucocytes,565
LacticAcid,Release A,3
LacticAcid,Release B,4
LacticAcid,Release E,1
Leucocytes,Admission IC,18
Leucocytes,Admission NC,153
Leucocytes,CRP,1778
Leucocytes,End,44
Leucocytes,ER Registration,14
Leucocytes,ER Sepsis Triage,36
Leucocytes,ER Triage,11
Leucocytes,IV Antibiotics,73
Leucocytes,IV Liquid,102
Leucocytes,LacticAcid,435
Leucocytes,Leucocytes,458
Leucocytes,Release A,225
Leucocytes,Release B,14
Leucocytes,Release C,8
Leucocytes,Release D,11
Leucocytes,Release E,2
Leucocytes,Return ER,1
Release A,CRP,1
Release A,End,393
Release A,Leucocytes,1
Release A,Return ER,276
Release B,Admission NC,1
Release B,End,55
Release C,End,19
Release C,Return ER,6
Release D,End,14
Release D,Return ER,10
Release E,End,5
Release E,Return ER,1
Return ER,CRP,3
Return ER,End,291
Start,CRP,10
Start,ER Registration,995
Start,ER Sepsis Triage,7
Start,ER Triage,6
Start,IV Liquid,14
Start,Leucocytes,18
